Activity Type;Date;Favorite;Title;Distance;Calories;Time;Avg HR;Max HR;Aerobic TE;Avg Run Cadence;Max Run Cadence;Avg Pace;Best Pace;Total Ascent;Total Descent;Avg Stride Length;Avg Vertical Ratio;Avg Vertical Oscillation;Avg Ground Contact Time;Avg GCT Balance;Avg Run Cadence;Max Run Cadence;Training Stress Score®;Avg Power;Max Power;Grit;Flow;Avg. Swolf;Avg Stroke Rate;Total Reps;Dive Time;Min Temp;Surface Interval;Decompression;Best Lap Time;Number of Laps;Max Temp;Moving Time;Elapsed Time;Min Elevation;Max Elevation
Running;01.05.2022 09:13;false;Mikołajki Bieganie;sty.51;102;00:09:43.2;139;160;01.kwi;156;180;06:27;04:19;16;22;0.99;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;03:30.62.6;2;0.0;00:09:36;00:09:43.2;122;136
Running;30.04.2022 12:36;false;Giżycko (Gmina) Bieganie;sty.85;33;00:16:27;73;81;0.0;--;--;08:52;--;--;--;0.00;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;00:00.77.7;6;0.0;00:00:00;00:16:28;115;115
Running;18.04.2022 11:17;false;Izabelin Bieganie;cze.32;390;00:33:16;145;161;02.sie;163;174;05:16;04:09;56;54;sty.17;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;01:35.58.5;7;0.0;00:32:51;00:35:00;85;108
Running;16.04.2022 16:47;false;Izabelin Bieganie;lut.17;134;00:16:58;116;137;0.9;143;172;07:50;04:25;17;19;0.89;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;01:02.41.7;3;0.0;00:16:20;00:16:58;99;108
Running;10.04.2022 09:00;false;Gdańsk Bieganie;42.33;2,72;03:13:48;171;186;5.0;173;183;04:35;03:38;228;228;sty.26;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;01:45.90.8;43;0.0;03:13:12;03:13:48;-7;28
Running;03.04.2022 12:03;false;Rzewnie Bieganie;09.mar;585;00:42:04;161;172;03.sie;169;181;04:39;04:04;91;84;sty.27;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;00:09.89.9;10;0.0;00:41:54;00:42:18;83;103
Running;26.03.2022 12:19;false;Lublin Bieganie;lip.49;459;00:30:44;158;193;03.wrz;172;197;04:06;02:18;90;89;sty.42;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;01:48.35.8;8;0.0;00:30:41;00:30:45;180;200
Running;22.03.2022 19:35;false;Warszawa Bieganie;lut.62;176;00:13:09;147;164;02.maj;165;233;05:01;03:58;13;8;sty.21;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;03:15.57.2;3;0.0;00:12:59;00:15:11;81;90
Running;22.03.2022 18:47;false;Warszawa Bieganie;kwi.85;278;00:20:21;144;167;3.0;170;190;04:12;03:25;4;4;sty.40;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;01:32.51;9;0.0;00:20:02;00:26:58;83;86
Running;22.03.2022 18:18;false;Warszawa Bieganie;lut.95;174;00:14:15;139;159;02.sty;165;189;04:50;04:12;15;19;sty.26;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;04:42.91.7;3;0.0;00:14:13;00:15:48;76;87
Running;20.03.2022 13:48;false;Warszawa Bieganie;20.29;1,187;01:32:48;148;163;4.0;170;187;04:34;03:25;136;133;sty.28;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;01:33.69.2;21;0.0;01:32:02;01:58:56;70;94
Running;17.03.2022 21:14;false;Warszawa Bieganie;08.sty;482;00:37:56;150;167;03.lut;167;213;04:44;04:02;458;247;sty.27;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;00:01.51.3;9;0.0;00:37:21;00:41:21;-121;123
Running;15.03.2022 18:53;false;Warszawa Bieganie;13.lut;766;00:57:36;156;174;03.sie;168;192;04:25;03:09;123;125;sty.34;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;00:46.74.3;20;0.0;00:56:53;01:07:08;74;136
Running;13.03.2022 16:22;false;Warszawa Bieganie;lip.76;475;00:35:19;159;174;03.maj;169;181;04:33;03:31;79;114;sty.30;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;03:39.67.1;8;0.0;00:34:52;00:38:29;77;124
Running;13.03.2022 14:03;false;Warszawa Bieganie;16.cze;954;01:12:50;157;170;04.sty;170;191;04:32;03:35;57;56;sty.30;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;14.01.2022 00:47;18;0.0;01:12:23;01:22:04;76;92
Running;10.03.2022 20:59;false;Warszawa Bieganie;lip.68;477;00:34:41;159;172;03.cze;169;179;04:31;04:08;76;72;sty.31;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;03:03.54.4;8;0.0;00:34:37;00:35:04;77;96
Running;06.03.2022 14:50;false;Warszawa Bieganie;35.67;2,127;02:43:59;157;176;5.0;172;189;04:36;03:41;165;166;sty.27;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;00:28.53.4;37;0.0;02:43:33;02:44:28;72;91
Running;04.03.2022 19:24;false;Warszawa Bieganie;lip.81;472;00:37:17;151;164;03.lut;167;176;04:46;03:58;74;76;sty.25;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;26.04.2022 03:40;8;0.0;00:37:10;00:38:01;77;93
Running;01.03.2022 19:02;false;Warszawa Bieganie;gru.58;737;00:57:19;157;176;03.wrz;168;183;04:33;03:44;66;96;sty.30;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;00:40.97.9;15;0.0;00:57:01;00:58:59;77;120
Running;27.02.2022 15:20;false;Izabelin Bieganie;33.84;2,026;02:47:08;152;165;5.0;167;177;04:56;03:53;129;126;sty.21;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;04:26.52;34;0.0;02:46:06;02:55:08;80;106
Running;24.02.2022 20:37;false;Warszawa Bieganie;12.kwi;758;00:59:46;156;181;03.wrz;165;194;04:58;03:43;34;32;sty.22;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;01:41.81.8;13;0.0;00:59:29;01:00:52;62;89
Treadmill Running;22.02.2022 17:53;false;Bieg na bieżni;mar.27;218;00:18:43;143;162;02.maj;167;177;05:44;04:57;--;--;01.maj;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;00:28.49.9;3;0.0;00:18:38;00:18:43;--;--
Running;20.02.2022 12:25;false;Rzewnie Bieganie;30.02;1,79;02:19:38;160;171;5.0;169;179;04:39;03:59;84;80;sty.27;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;12.06.2022 00:05;31;0.0;02:18:09;02:21:02;81;99
